round,date,num1,num2,num3,num4,num5,num6,bonus,winnernum,price,carryover
2088,2026/3/26,8,16,18,27,37,39,29,3,85315200,0
2087,2026/3/23,7,10,15,18,26,39,13,1,600000000,0
2086,2026/3/19,4,11,19,28,39,40,6,0,0,377168743
2085,2026/3/16,6,8,13,26,35,43,14,1,600000000,0
2084,2026/3/12,8,17,18,19,30,39,9,0,0,462516068
2083,2026/3/9,8,10,13,17,26,29,43,0,0,210243220
2082,2026/3/5,5,11,14,19,25,40,17,2,266807600,0
2081,2026/3/2,14,31,32,37,41,42,22,0,0,247024989
2080,2026/2/26,6,12,30,36,37,38,8,1,455170700,0
2079,2026/2/23,5,11,15,17,24,39,31,0,0,207185202
2078,2026/2/19,1,10,20,24,30,35,41,1,495292100,0
2077,2026/2/16,17,18,23,24,26,43,10,0,0,238876055
2076,2026/2/12,1,9,20,22,28,41,30,5,94842000,0
2075,2026/2/9,7,10,14,16,35,37,11,0,0,222215112
2074,2026/2/5,5,6,16,26,27,36,11,4,281563500,0
2073,2026/2/2,2,12,14,24,26,29,8,0,0,826984918
2072,2026/1/29,8,18,24,36,40,42,43,0,0,538049454
2071,2026/1/26,15,24,29,32,33,35,14,0,0,273871384
2070,2026/1/22,6,10,25,30,34,36,12,1,200000000,0
2069,2026/1/19,6,17,23,27,33,35,4,9,86819200,0
2068,2026/1/15,2,10,13,14,29,33,32,0,0,484491749
2067,2026/1/12,3,4,12,15,32,42,31,0,0,221877669
2066,2026/1/8,8,28,30,32,37,38,5,1,542887200,0
2065,2026/1/5,6,18,21,31,37,40,3,0,0,259218384
2064,2025/12/29,2,7,24,37,39,41,3,1,600000000,0
2063,2025/12/25,4,28,29,30,38,42,15,0,0,313298859
2062,2025/12/22,1,9,18,24,35,42,8,1,200000000,0
2061,2025/12/18,5,6,13,21,33,34,40,1,276436400,0
2060,2025/12/15,8,16,22,40,41,42,10,1,200000000,0
2059,2025/12/11,2,13,26,28,38,43,3,2,110548300,0
2058,2025/12/8,9,12,14,16,19,42,18,2,115587500,0
2057,2025/12/4,5,7,21,22,38,41,24,3,217303700,0
2056,2025/12/1,3,7,15,17,19,30,38,1,600000000,0
